timestamp,open,high,low,close,volume,rsi_14
2025-09-26 04:00:00+00:00,42.927,43.329,42.223,42.262,641590.71,
2025-09-26 05:00:00+00:00,42.264,42.75,41.867,42.063,453814.18,
2025-09-26 06:00:00+00:00,42.054,42.45,41.733,41.939,379154.27,
2025-09-26 07:00:00+00:00,41.94,42.476,41.896,42.459,283194.17,
2025-09-26 08:00:00+00:00,42.459,42.754,42.267,42.455,305303.46,
2025-09-26 09:00:00+00:00,42.461,42.604,41.885,42.198,349564.33,
2025-09-26 10:00:00+00:00,42.195,42.219,41.205,41.216,517219.38,
2025-09-26 11:00:00+00:00,41.209,41.25,40.742,41.102,624588.43,
2025-09-26 12:00:00+00:00,41.106,42.598,40.902,42.472,998679.13,
2025-09-26 13:00:00+00:00,42.471,43.672,42.197,43.469,1139976.62,
2025-09-26 14:00:00+00:00,43.473,43.608,42.727,43.197,810106.33,
2025-09-26 15:00:00+00:00,43.212,44.379,43.121,44.274,1086561.97,
2025-09-26 16:00:00+00:00,44.265,44.998,44.106,44.646,1359026.93,
2025-09-26 17:00:00+00:00,44.647,45.628,44.462,45.096,906693.92,
2025-09-26 18:00:00+00:00,45.091,45.689,44.844,45.585,665674.22,65.34985014567178
2025-09-26 19:00:00+00:00,45.577,45.622,44.72,44.883,856769.09,57.97971878233887
2025-09-26 20:00:00+00:00,44.877,45.361,44.444,44.538,515276.46,54.71387949967846
2025-09-26 21:00:00+00:00,44.537,44.776,44.294,44.299,478828.78,52.507386297266414
2025-09-26 22:00:00+00:00,44.299,44.806,44.144,44.665,473187.59,55.46904468957502
2025-09-26 23:00:00+00:00,44.664,45.042,44.43,44.822,321310.36,56.71596830388312
2025-09-27 00:00:00+00:00,44.828,45.445,44.753,45.444,597365.46,61.33519310994408
2025-09-27 01:00:00+00:00,45.445,45.468,44.576,44.813,432227.77,54.93076047533865
2025-09-27 02:00:00+00:00,44.813,44.891,44.24,44.269,269636.8,50.076132761053856
2025-09-27 03:00:00+00:00,44.257,44.558,43.871,43.872,598740.22,46.823881982974136
2025-09-27 04:00:00+00:00,43.872,44.229,43.667,44.201,496309.64,49.737213329596685
2025-09-27 05:00:00+00:00,44.198,44.763,43.99,44.693,350857.9,53.81244336589568
2025-09-27 06:00:00+00:00,44.692,44.832,44.452,44.797,331697.67,54.64947298031973
2025-09-27 07:00:00+00:00,44.802,44.913,44.362,44.515,197980.59,51.90279927927508
