split,train,test,params,tr_sharpe,oos_sharpe,oos_calmar,oos_ret_%,oos_dd_%,bah_ret_%,bah_dd_%,trades,win_%,in_mkt_%
1,2024-12-07→2025-04-06,2025-04-06→2025-06-05,"ST(ATR7/x1.5)+MACD(8,21,9)/V0.0",5.467,9.388,4889.47,149.75,-5.34,228.94,-19.81,9,55.6,28.6
2,2024-12-07→2025-06-05,2025-06-05→2025-08-04,"ST(ATR7/x1.5)+MACD(8,21,9)/V0.0",6.288,4.029,92.34,28.64,-3.93,14.4,-28.77,7,14.3,15.3
3,2024-12-07→2025-08-04,2025-08-04→2025-10-03,"ST(ATR7/x1.5)+MACD(8,21,9)/V0.0",6.013,5.901,384.18,62.75,-4.78,34.18,-31.57,9,55.6,26.9
4,2024-12-07→2025-10-03,2025-10-03→2025-12-02,"ST(ATR14/x1.5)+MACD(8,26,7)/V0.0",5.995,3.146,47.23,32.8,-9.77,-34.04,-42.43,11,27.3,27.2
5,2024-12-07→2025-12-02,2025-12-02→2026-01-31,"ST(ATR7/x1.5)+MACD(8,21,9)/V0.0",5.563,6.639,646.96,91.36,-7.86,-13.51,-41.87,11,36.4,34.4
6,2024-12-07→2026-01-31,2026-01-31→2026-04-01,"ST(ATR14/x1.5)+MACD(8,26,7)/V0.0",5.789,5.349,132.22,43.46,-6.04,28.6,-30.79,7,14.3,24.7
