mode,rsi_buy,rsi_sell,ma_fast,ma_slow,vol_min,sharpe,calmar,total_return,ann_return,max_drawdown,num_trades,win_rate,avg_trade_pct,in_market_pct,param_label
momentum,50,55,5,20,0.0,5.786817384647395,131.44876320404956,45.264690011016334,15.338261304872024,-0.1166862352372403,52,0.5,2.7162749234867034,15.06986027944112,momentum/B50/S55/MA5-20/V0.0
momentum,50,55,10,20,0.0,5.602918230491941,98.15625513138183,41.60639839265681,14.38658841717003,-0.14656822836113326,59,0.5254237288135594,2.5294130105002304,15.768463073852296,momentum/B50/S55/MA10-20/V0.0
momentum,50,60,10,20,0.0,5.177315639323498,84.63891130960126,26.155624591851424,10.082261519794276,-0.11912087908260424,55,0.5272727272727272,2.0511070262379363,13.972055888223553,momentum/B50/S60/MA10-20/V0.0
momentum,50,55,5,20,1.0,4.8419967092079315,54.37531486423209,14.440117707683129,6.3448507813467945,-0.1166862352372403,28,0.5714285714285714,4.649123629748593,8.715901530272788,momentum/B50/S55/MA5-20/V1.0
momentum,50,60,5,20,0.0,4.554414432771806,60.53834318285281,15.58464102239973,6.737634633296824,-0.11129532588868778,47,0.48936170212765956,1.6406869823156212,12.807717897538257,momentum/B50/S60/MA5-20/V0.0
momentum,50,55,5,50,0.0,4.509461332188646,49.50053535647696,21.75049602822866,8.741505564447962,-0.17659416209332307,51,0.5294117647058824,1.395077187076995,14.936793080505655,momentum/B50/S55/MA5-50/V0.0
momentum,50,55,10,20,1.0,4.346410539715602,34.32406118287587,10.780030800709248,5.030816837733261,-0.14656822836113326,29,0.6206896551724138,4.689700309812422,8.250166333998669,momentum/B50/S55/MA10-20/V1.0
momentum,50,60,10,20,1.0,4.211487222375108,35.49258028703104,8.68230637887357,4.227907364701047,-0.11912087908260424,28,0.5714285714285714,3.932400479255197,7.218895542248836,momentum/B50/S60/MA10-20/V1.0
momentum,50,65,10,20,0.0,4.167457823498485,30.554505738816324,11.505205879672037,5.299089255362754,-0.17343069793568325,53,0.4716981132075472,0.7387622466599985,14.67065868263473,momentum/B50/S65/MA10-20/V0.0
momentum,50,55,10,50,0.0,4.153218974777916,36.78427668857922,16.18325362450348,6.940124052141687,-0.18867093978489066,52,0.5192307692307693,0.9521091459277804,15.968063872255488,momentum/B50/S55/MA10-50/V0.0
momentum,50,60,5,20,1.0,3.9807579664837283,37.84387159868316,7.52018838823591,3.7629077480426796,-0.09943242033866367,27,0.5555555555555556,3.233522066893352,7.052561543579508,momentum/B50/S60/MA5-20/V1.0
momentum,50,55,20,50,0.0,3.970738190852865,32.50817338178139,17.50078321397586,7.379196567499882,-0.22699511537721212,54,0.5555555555555556,0.5092115258573348,18.09713905522289,momentum/B50/S55/MA20-50/V0.0
momentum,50,60,5,50,0.0,3.8233233800509963,40.83920971142354,13.680575085284955,6.07982292032206,-0.1488721981469052,42,0.5714285714285714,2.287056429496747,13.506320691949433,momentum/B50/S60/MA5-50/V0.0
momentum,50,65,5,20,0.0,3.7694692054154557,23.315058481977914,8.216742244679864,4.043546864940698,-0.1734306979356831,44,0.4090909090909091,0.6101776166286434,13.639387890884896,momentum/B50/S65/MA5-20/V0.0
momentum,50,65,5,50,0.0,3.7511196668277607,40.46550737495984,13.522462063855958,6.024189032040075,-0.1488721981469052,39,0.46153846153846156,3.1495508643015513,15.73519627411843,momentum/B50/S65/MA5-50/V0.0
momentum,45,60,10,20,0.0,3.7302586607883126,28.055459300734867,5.4975244897878115,2.909504720214864,-0.10370547453980389,31,0.41935483870967744,2.5764785155485397,7.0192947438456414,momentum/B45/S60/MA10-20/V0.0
momentum,45,55,10,20,0.0,3.6384418311840876,23.142810003574642,5.0254198764883435,2.7004473721278623,-0.11668623523724003,32,0.5,2.2015100600958473,6.553559547571523,momentum/B45/S55/MA10-20/V0.0
momentum,50,65,10,20,1.0,3.5981828023026243,14.40463663032645,4.578066537991972,2.4982061843074246,-0.17343069793568322,28,0.5357142857142857,1.7866405992300018,6.852960745176315,momentum/B50/S65/MA10-20/V1.0
momentum,50,70,5,50,0.0,3.4480367983695843,35.24256895262375,11.362503059498312,5.246638708320974,-0.14887219814690525,33,0.36363636363636365,4.065973226113185,18.496340652029275,momentum/B50/S70/MA5-50/V0.0
momentum,45,60,10,20,1.0,3.446713398623112,13.366152813000388,1.4692871763679674,0.9319917084766856,-0.06972774601007088,16,0.4375,1.5754083874071134,2.9607451763140387,momentum/B45/S60/MA10-20/V1.0
momentum,50,70,5,50,1.0,3.3794272164285912,27.399224311767476,8.101960691017425,3.9977091221437666,-0.14590592334494748,21,0.47619047619047616,7.17446619477202,10.944777112441784,momentum/B50/S70/MA5-50/V1.0
momentum,45,65,10,20,0.0,3.3564004278056174,17.711437379099483,3.1835818426399793,1.8367730181815345,-0.10370547453980401,29,0.41379310344827586,0.9932072438230811,7.584830339321358,momentum/B45/S65/MA10-20/V0.0
momentum,50,70,10,20,0.0,3.3470169856154484,19.60027177693955,8.025592738231005,3.967124834797385,-0.20240152177200194,48,0.4375,0.7303330163593134,19.228210246174317,momentum/B50/S70/MA10-20/V0.0
momentum,45,70,10,20,0.0,3.3141700327245163,16.293334015051983,3.3186348435350137,1.9032014978353287,-0.11680859768032299,29,0.41379310344827586,1.2935964366324684,9.148369926813041,momentum/B45/S70/MA10-20/V0.0
momentum,50,55,5,50,1.0,3.294818806332017,16.70021284152296,6.2532832104125164,3.2358094103758024,-0.19375857308419286,27,0.5185185185185185,2.2689611447088898,7.984031936127744,momentum/B50/S55/MA5-50/V1.0
momentum,50,75,10,20,0.0,3.292661839218859,20.056913716142205,8.25690689059995,4.059549858196915,-0.20240152177200166,48,0.4166666666666667,0.961686377748591,19.8270126413839,momentum/B50/S75/MA10-20/V0.0
momentum,45,55,10,20,1.0,3.2862154888698605,18.89447689694558,1.2605542249555337,0.8115935956804676,-0.04295401244009392,17,0.5294117647058824,0.9988493370548177,2.7278775781769795,momentum/B45/S55/MA10-20/V1.0
momentum,50,55,20,50,1.0,3.252217946515156,21.51223997423583,7.423074745670823,3.723295182611495,-0.17307798662857546,32,0.53125,0.7234723441512624,10.479041916167663,momentum/B50/S55/MA20-50/V1.0
momentum,50,65,5,20,1.0,3.2513999245886454,11.967333074511854,3.6742833687188687,2.075502927541376,-0.17343069793568316,25,0.48,1.1305350844342492,7.052561543579508,momentum/B50/S65/MA5-20/V1.0
momentum,50,55,10,50,1.0,3.2102243451890105,15.420959155067306,5.995507524270504,3.1255994675658956,-0.20268515311765337,28,0.5357142857142857,1.5800042149127658,9.148369926813041,momentum/B50/S55/MA10-50/V1.0
momentum,50,60,10,50,0.0,3.1806765809070496,17.32482237181925,8.154338095448239,4.018645262331224,-0.23195881470438606,42,0.5714285714285714,1.672185078734555,14.737192282102463,momentum/B50/S60/MA10-50/V0.0
momentum,45,75,10,20,0.0,3.157400079938778,16.754152243898456,3.428918311502642,1.9570290289324155,-0.11680859768032299,28,0.42857142857142855,1.818221323204813,9.813705921490353,momentum/B45/S75/MA10-20/V0.0
momentum,50,75,5,20,0.0,3.1061787294770453,19.517110399644938,6.605907204451989,3.3848660782982005,-0.1734306979356831,41,0.34146341463414637,0.9739219996946318,18.330006653359945,momentum/B50/S75/MA5-20/V0.0
momentum,50,75,5,20,1.0,3.0818723820053138,14.666798437555325,4.677819553805034,2.5436730895072084,-0.17343069793568322,25,0.4,2.7352642389418214,12.242182302062542,momentum/B50/S75/MA5-20/V1.0
momentum,50,70,10,20,1.0,3.0816852839775253,13.349906589036543,4.485654325804374,2.4558878472580936,-0.18396292370127618,26,0.5,2.625937811269069,11.676646706586826,momentum/B50/S70/MA10-20/V1.0
momentum,45,65,10,20,1.0,3.079573445097511,13.714793403811518,1.5120345071200325,0.9563016310415635,-0.06972774601007077,15,0.4,2.0098561123586265,4.324683965402528,momentum/B45/S65/MA10-20/V1.0
momentum,45,70,5,50,0.0,3.0592302155356927,14.446858931141689,3.582054266871176,2.031173149361061,-0.14059617796797744,24,0.25,3.0757354954427782,6.487025948103792,momentum/B45/S70/MA5-50/V0.0
momentum,50,60,20,50,0.0,3.0395953300693987,20.314824499607006,8.899332802029353,4.313022338321421,-0.2123091114277092,44,0.5909090909090909,1.3483096611151164,17.964071856287426,momentum/B50/S60/MA20-50/V0.0
momentum,50,65,5,50,1.0,3.03167699216984,20.643513335200353,5.732501727635077,3.012010874256144,-0.14590592334494748,23,0.5217391304347826,4.510911608992084,8.483033932135728,momentum/B50/S65/MA5-50/V1.0
momentum,50,70,5,20,0.0,3.0205604643128217,17.51338401110487,5.790954514655542,3.0373584122615513,-0.17343069793568316,41,0.34146341463414637,0.39682510820816597,17.731204258150367,momentum/B50/S70/MA5-20/V0.0
momentum,50,75,10,20,1.0,3.0077135672364887,13.72755518484059,4.637586082186078,2.5253611870738895,-0.18396292370127632,26,0.46153846153846156,2.9787038251255966,12.375249500998004,momentum/B50/S75/MA10-20/V1.0
momentum,50,70,5,20,1.0,2.9967460725409216,13.019885180502719,4.059257670504451,2.2580477738970455,-0.17343069793568322,25,0.4,1.8653760947692575,11.543579507651364,momentum/B50/S70/MA5-20/V1.0
momentum,45,65,10,50,1.0,2.9868469874182244,12.9454338190902,3.149824754112651,1.8200785171014795,-0.14059617796797744,13,0.46153846153846156,6.636800119300419,4.424484364604125,momentum/B45/S65/MA10-50/V1.0
momentum,45,55,10,50,0.0,2.970873947606449,14.5792681679012,4.068292249646356,2.2622854574052593,-0.1551714003303729,33,0.3939393939393939,-0.12944345663583634,8.582834331337326,momentum/B45/S55/MA10-50/V0.0
momentum,45,65,5,50,0.0,2.9599676674432582,13.619653740158343,3.342480047659656,1.914871261113532,-0.14059617796797744,24,0.25,2.610380497835673,6.487025948103792,momentum/B45/S65/MA5-50/V0.0
trend,50,60,5,20,0.0,2.924354223598142,19.867414882481256,16.392218522673193,7.010356306145123,-0.3528569946121543,100,0.32,0.9407212344029345,49.50099800399202,trend/MA5-20/V0.0
trend,30,55,5,20,0.0,2.924354223598142,19.867414882481256,16.392218522673193,7.010356306145123,-0.3528569946121543,100,0.32,0.9407212344029345,49.50099800399202,trend/MA5-20/V0.0
trend,40,70,5,20,0.0,2.924354223598142,19.867414882481256,16.392218522673193,7.010356306145123,-0.3528569946121543,100,0.32,0.9407212344029345,49.50099800399202,trend/MA5-20/V0.0
trend,35,55,5,20,0.0,2.924354223598142,19.867414882481256,16.392218522673193,7.010356306145123,-0.3528569946121543,100,0.32,0.9407212344029345,49.50099800399202,trend/MA5-20/V0.0
trend,50,70,5,20,0.0,2.924354223598142,19.867414882481256,16.392218522673193,7.010356306145123,-0.3528569946121543,100,0.32,0.9407212344029345,49.50099800399202,trend/MA5-20/V0.0
trend,30,75,5,20,0.0,2.924354223598142,19.867414882481256,16.392218522673193,7.010356306145123,-0.3528569946121543,100,0.32,0.9407212344029345,49.50099800399202,trend/MA5-20/V0.0
trend,30,60,5,20,0.0,2.924354223598142,19.867414882481256,16.392218522673193,7.010356306145123,-0.3528569946121543,100,0.32,0.9407212344029345,49.50099800399202,trend/MA5-20/V0.0
trend,50,55,5,20,0.0,2.924354223598142,19.867414882481256,16.392218522673193,7.010356306145123,-0.3528569946121543,100,0.32,0.9407212344029345,49.50099800399202,trend/MA5-20/V0.0
trend,35,70,5,20,0.0,2.924354223598142,19.867414882481256,16.392218522673193,7.010356306145123,-0.3528569946121543,100,0.32,0.9407212344029345,49.50099800399202,trend/MA5-20/V0.0
trend,35,65,5,20,0.0,2.924354223598142,19.867414882481256,16.392218522673193,7.010356306145123,-0.3528569946121543,100,0.32,0.9407212344029345,49.50099800399202,trend/MA5-20/V0.0
trend,50,65,5,20,0.0,2.924354223598142,19.867414882481256,16.392218522673193,7.010356306145123,-0.3528569946121543,100,0.32,0.9407212344029345,49.50099800399202,trend/MA5-20/V0.0
trend,50,75,5,20,0.0,2.924354223598142,19.867414882481256,16.392218522673193,7.010356306145123,-0.3528569946121543,100,0.32,0.9407212344029345,49.50099800399202,trend/MA5-20/V0.0
trend,45,75,5,20,0.0,2.924354223598142,19.867414882481256,16.392218522673193,7.010356306145123,-0.3528569946121543,100,0.32,0.9407212344029345,49.50099800399202,trend/MA5-20/V0.0
