timestamp,open,high,low,close,volume,rsi_14
2026-04-05 02:55:00+00:00,36.092,36.1,36.071,36.091,2204.31,
2026-04-05 03:00:00+00:00,36.091,36.097,36.059,36.082,2667.9,
2026-04-05 03:05:00+00:00,36.079,36.099,36.072,36.099,2214.78,
2026-04-05 03:10:00+00:00,36.1,36.12,36.094,36.115,3649.46,
2026-04-05 03:15:00+00:00,36.121,36.121,36.056,36.057,226.38,
2026-04-05 03:20:00+00:00,36.051,36.09,36.034,36.086,1728.43,
2026-04-05 03:25:00+00:00,36.086,36.101,36.065,36.091,2157.49,
2026-04-05 03:30:00+00:00,36.091,36.106,36.023,36.033,6446.48,
2026-04-05 03:35:00+00:00,36.034,36.034,35.969,35.986,7423.95,
2026-04-05 03:40:00+00:00,35.986,35.998,35.973,35.985,5268.1,
2026-04-05 03:45:00+00:00,35.985,35.985,35.933,35.968,6037.7,
2026-04-05 03:50:00+00:00,35.967,35.968,35.904,35.919,7118.27,
2026-04-05 03:55:00+00:00,35.918,35.93,35.889,35.92,6682.38,
2026-04-05 04:00:00+00:00,35.92,35.922,35.789,35.821,25192.83,
2026-04-05 04:05:00+00:00,35.821,35.893,35.808,35.822,8983.88,10.544190750875543
2026-04-05 04:10:00+00:00,35.824,35.878,35.818,35.876,9816.6,24.357816812619774
2026-04-05 04:15:00+00:00,35.875,35.955,35.857,35.949,10269.8,38.241629839071415
2026-04-05 04:20:00+00:00,35.955,35.97,35.896,35.905,9567.23,34.17053701070347
2026-04-05 04:25:00+00:00,35.904,35.963,35.903,35.948,10106.81,40.80299913560903
2026-04-05 04:30:00+00:00,35.943,35.951,35.894,35.899,7727.59,36.3131596671614
2026-04-05 04:35:00+00:00,35.892,35.923,35.855,35.923,5269.59,39.8068593922865
2026-04-05 04:40:00+00:00,35.922,35.97,35.855,35.892,8222.24,36.98463014478657
2026-04-05 04:45:00+00:00,35.899,35.909,35.866,35.894,3004.13,37.29351726530044
2026-04-05 04:50:00+00:00,35.894,35.938,35.892,35.915,1347.47,40.58666507052184
2026-04-05 04:55:00+00:00,35.916,35.948,35.851,35.859,6611.21,35.267676617226
2026-04-05 05:00:00+00:00,35.859,35.892,35.839,35.849,7423.86,34.400695654513854
2026-04-05 05:05:00+00:00,35.85,35.85,35.815,35.826,7693.66,32.426263829261245
2026-04-05 05:10:00+00:00,35.825,35.838,35.758,35.82,12426.3,31.91170734441593
2026-04-05 05:15:00+00:00,35.819,35.819,35.8,35.801,1263.66,30.273439368668136
2026-04-05 05:20:00+00:00,35.8,35.8,35.718,35.737,14139.79,25.520750360764197
2026-04-05 05:25:00+00:00,35.737,35.785,35.73,35.764,2680.38,30.479359445172065
2026-04-05 05:30:00+00:00,35.759,35.774,35.709,35.72,5656.82,27.29066902333176
2026-04-05 05:35:00+00:00,35.721,35.721,35.599,35.696,98474.94,25.71064824961779
2026-04-05 05:40:00+00:00,35.696,35.699,35.687,35.693,1393.61,25.511816972761395
2026-04-05 05:45:00+00:00,35.693,35.764,35.679,35.712,19791.67,29.243910566755233
2026-04-05 05:50:00+00:00,35.717,35.748,35.652,35.696,8414.27,27.972887283716304
2026-04-05 05:55:00+00:00,35.695,35.696,35.598,35.655,23426.24,24.977114436336436
2026-04-05 06:00:00+00:00,35.654,35.674,35.598,35.666,6441.56,27.228884941420247
2026-04-05 06:05:00+00:00,35.665,35.672,35.524,35.537,26476.94,19.74447382469745
2026-04-05 06:10:00+00:00,35.543,35.598,35.51,35.533,18721.59,19.56489289419494
2026-04-05 06:15:00+00:00,35.525,35.528,35.431,35.471,41166.87,16.986057488929887
2026-04-05 06:20:00+00:00,35.47,35.55,35.461,35.521,12233.7,25.51293474208272
2026-04-05 06:25:00+00:00,35.52,35.579,35.52,35.562,3860.27,31.707495892686154
2026-04-05 06:30:00+00:00,35.561,35.695,35.561,35.655,26662.9,43.23850425809088
2026-04-05 06:35:00+00:00,35.642,35.712,35.631,35.676,6146.42,45.47719186408841
2026-04-05 06:40:00+00:00,35.674,35.707,35.671,35.707,2374.69,48.69406791947989
2026-04-05 06:45:00+00:00,35.702,35.732,35.681,35.685,4678.57,46.59308163079244
2026-04-05 06:50:00+00:00,35.684,35.718,35.672,35.68,1337.17,46.10618323930461
2026-04-05 06:55:00+00:00,35.679,35.71,35.667,35.667,753.47,44.795466049421414
2026-04-05 07:00:00+00:00,35.67,35.782,35.665,35.738,9320.01,52.70365571696451
2026-04-05 07:05:00+00:00,35.736,35.758,35.731,35.735,1561.79,52.36233010108435
2026-04-05 07:10:00+00:00,35.734,35.76,35.674,35.713,5173.42,49.8145024399226
2026-04-05 07:15:00+00:00,35.707,35.707,35.625,35.632,9732.25,41.75813602714608
2026-04-05 07:20:00+00:00,35.631,35.641,35.532,35.555,19058.76,35.82645674377136
2026-04-05 07:25:00+00:00,35.555,35.643,35.529,35.631,8647.85,44.24484808416142
2026-04-05 07:30:00+00:00,35.632,35.64,35.55,35.58,15801.51,40.41358692317547
2026-04-05 07:35:00+00:00,35.579,35.58,35.509,35.522,9538.47,36.53857409364798
2026-04-05 07:40:00+00:00,35.521,35.554,35.505,35.54,7138.39,38.50911601267114
2026-04-05 07:45:00+00:00,35.539,35.592,35.521,35.55,2215.79,39.63062994816185
2026-04-05 07:50:00+00:00,35.547,35.61,35.547,35.609,1632.97,45.90005165595026
2026-04-05 07:55:00+00:00,35.609,35.642,35.594,35.641,7842.32,48.994011400371036
2026-04-05 08:00:00+00:00,35.64,35.699,35.629,35.681,11528.75,52.640069315308125
2026-04-05 08:05:00+00:00,35.682,35.707,35.678,35.684,1918.53,52.91193798170058
2026-04-05 08:10:00+00:00,35.683,35.703,35.653,35.668,451.23,51.22306468536503
2026-04-05 08:15:00+00:00,35.661,35.725,35.661,35.716,16006.22,55.782808976204194
2026-04-05 08:20:00+00:00,35.712,35.753,35.712,35.737,15046.09,57.64816177939735
2026-04-05 08:25:00+00:00,35.734,35.77,35.723,35.759,13062.51,59.57230284075026
2026-04-05 08:30:00+00:00,35.762,35.845,35.76,35.836,21582.93,65.48313600778714
2026-04-05 08:35:00+00:00,35.839,35.867,35.829,35.845,13107.08,66.10689599138824
2026-04-05 08:40:00+00:00,35.844,35.867,35.778,35.778,16125.74,57.74142070628033
