atr_period,mult,macd_fast,macd_slow,macd_sig,vol_min,sharpe,ann_return,total_return,max_dd,calmar,n_trades,win_rate,avg_trade,in_market,param_label
14,1.5,8,26,7,0.0,5.722490556113765,23.056634893218494,77.68406280005155,-0.09772036123132133,235.94504361930646,75,0.36,0.19085196796792692,26.84630738522954,"ST(ATR14/x1.5)+MACD(8,26,7)/V0.0"
14,1.5,12,26,7,0.0,5.706718953085163,23.462073690102795,79.50997034095742,-0.11372889447438203,206.2982657005229,70,0.4142857142857143,0.4796057658898214,28.409846972721226,"ST(ATR14/x1.5)+MACD(12,26,7)/V0.0"
7,1.5,12,21,7,0.0,5.670205795172904,41.85261217639628,172.80269796117074,-0.1397487525905774,299.48469235365616,75,0.38666666666666666,1.2111353104315397,29.673985362608118,"ST(ATR7/x1.5)+MACD(12,21,7)/V0.0"
14,1.5,8,26,9,0.0,5.660732570085562,22.36970254115798,74.61659388235536,-0.11909698618978422,187.82761224126415,70,0.38571428571428573,0.6064899149651305,27.644710578842314,"ST(ATR14/x1.5)+MACD(8,26,9)/V0.0"
7,1.5,8,21,9,0.0,5.654558199444289,39.9147360731318,162.10623632673344,-0.12654929395036735,315.4086034552383,76,0.3684210526315789,1.115958971426187,27.91084497671324,"ST(ATR7/x1.5)+MACD(8,21,9)/V0.0"
7,1.5,12,21,9,0.0,5.606802010899601,37.50367821528116,149.05991284872596,-0.1386217634847519,270.54682664895176,68,0.38235294117647056,1.5304050798863065,29.17498336660013,"ST(ATR7/x1.5)+MACD(12,21,9)/V0.0"
7,1.5,8,26,9,0.0,5.55426487642879,32.522497194240806,123.07402496828837,-0.13974875259057748,232.72119851775784,75,0.38666666666666666,0.6765987659271422,29.44111776447106,"ST(ATR7/x1.5)+MACD(8,26,9)/V0.0"
14,1.5,8,21,9,0.0,5.542667662941388,19.46386718896394,62.018102247804244,-0.10750704546935949,181.04736395635877,71,0.3380281690140845,0.2087980661498905,25.58216899534265,"ST(ATR14/x1.5)+MACD(8,21,9)/V0.0"
10,1.5,8,26,7,0.0,5.538830924587643,28.64856005384791,103.82773017504265,-0.09772036123132148,293.1687899314215,76,0.35526315789473684,0.24157434265171893,26.94610778443114,"ST(ATR10/x1.5)+MACD(8,26,7)/V0.0"
7,1.5,8,26,7,0.0,5.535835889012939,31.802236318720915,119.42959695163975,-0.10753899344266483,295.72748731069817,80,0.375,0.32199487874222443,28.409846972721226,"ST(ATR7/x1.5)+MACD(8,26,7)/V0.0"
